Name,Temp,Clouds,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Butaritari,79.33,92,1551653062,100,3.07,172.79,79.33,10.45
Komsomolskiy,-13.02,20,1551653063,39,67.55,63.78,-13.02,5.64
Konanur,66.05,0,1551653064,86,12.63,76.05,66.05,2.95
Forbes,84.0,0,1551652826,41,-33.38,148.01,84.0,5.01
Provideniya,30.2,90,1551650400,92,64.42,-173.23,30.2,33.55
Tiksi,-5.14,44,1551653063,67,71.64,128.87,-5.14,9.22
Saint-Philippe,28.4,40,1551653034,63,45.36,-73.48,30.2,6.93
Los Llanos de Aridane,60.03,75,1551652332,68,28.66,-17.92,64.4,9.17
Rikitea,79.51,68,1551652992,100,-23.12,-134.97,79.51,12.24
Busselton,61.38,0,1551652811,43,-33.64,115.35,64.99,18.39
Nanortalik,27.08,80,1551653068,100,60.14,-45.24,27.08,7.99
Albany,32.94,90,1551652743,44,42.65,-73.75,37.4,5.82
Antsohihy,74.78,44,1551653069,91,-14.88,47.99,74.78,4.18
Jamestown,76.54,48,1551652781,78,-33.21,138.6,76.54,4.63
Salalah,77.0,20,1551649800,61,17.01,54.1,77.0,4.7
Hobart,62.46,0,1551652996,55,-42.88,147.33,64.0,8.05
Bjornevatn,10.71,0,1551651600,65,69.67,29.98,14.0,27.51
Pangnirtung,-9.55,64,1551653072,66,66.15,-65.72,-9.55,0.94
Redlands,58.75,75,1551652934,59,34.06,-117.19,64.99,4.7
Mataura,68.0,0,1551652805,56,-46.19,168.86,68.0,8.01
Te Anau,62.23,0,1551653077,49,-45.41,167.72,62.23,13.58
Bredasdorp,59.85,0,1551652241,82,-34.53,20.04,62.6,3.36
Wajid,75.95,8,1551653078,54,3.81,43.25,75.95,10.89
Hilo,69.94,90,1551653069,68,19.71,-155.08,77.0,10.29
Mezen,5.08,64,1551653079,75,65.85,44.24,5.08,2.62
Remanso,79.69,8,1551653079,94,-9.62,-42.08,79.69,11.01
Georgetown,78.8,40,1551650400,83,6.8,-58.16,78.8,11.41
Minna,77.62,56,1551653082,70,9.62,6.55,77.62,2.95
Kapaa,72.63,90,1551652706,60,22.08,-159.32,75.2,18.34
Peniche,58.44,90,1551652932,87,39.36,-9.38,59.0,9.17
Luena,66.01,8,1551653083,81,-11.78,19.91,66.01,4.41
Mae Sot,62.9,0,1551653084,86,16.71,98.57,62.9,1.83
Ribeira Grande,55.4,75,1551650400,76,38.52,-28.7,55.4,6.93
Manokwari,80.0,56,1551653085,100,-0.87,134.08,80.0,7.99
Lagos,82.4,0,1551650400,88,6.46,3.39,82.4,9.78
Havoysund,22.77,90,1551651600,92,71.0,24.66,24.8,39.15
Jiuquan,4.72,0,1551653087,46,39.73,98.49,4.72,2.95
Lubango,60.16,32,1551653087,88,-14.92,13.49,60.16,0.94
Husavik,1.62,56,1551653045,76,50.56,-96.99,3.0,8.01
Cape Town,65.32,0,1551652973,88,-33.93,18.42,66.99,2.24
Dikson,-5.14,36,1551653089,95,73.51,80.55,-5.14,24.32
Lazaro Cardenas,81.27,5,1551652961,16,28.39,-105.62,82.4,12.75
Synya,-3.57,24,1551653090,74,65.37,58.04,-3.57,7.2
East London,74.83,0,1551653091,100,-33.02,27.91,74.83,16.37
Thompson,6.8,90,1551650400,65,55.74,-97.86,6.8,18.34
Ancud,53.6,90,1551650400,87,-41.87,-73.83,53.6,4.7
Qaanaaq,-6.67,0,1551653093,85,77.48,-69.36,-6.67,10.45
Okhotsk,1.39,0,1551653083,100,59.36,143.24,1.39,7.43
Torbay,22.19,90,1551652704,85,47.66,-52.73,24.01,20.8
Grindavik,37.72,0,1551652755,80,63.84,-22.43,39.2,21.92
Vaini,58.09,0,1551652835,85,15.34,74.49,58.09,1.16
Carballo,54.52,40,1551652806,71,43.21,-8.69,57.0,14.99
Saint-Augustin,63.7,0,1551652928,31,44.83,-0.61,68.0,12.75
Beloha,71.41,0,1551653096,90,-25.17,45.06,71.41,3.51
Ginda,28.03,0,1551653097,88,30.69,78.49,28.03,2.51
Kaitangata,69.61,0,1551653060,67,-46.28,169.85,69.61,10.45
Hirara,67.12,75,1551650400,77,24.8,125.28,68.0,6.93
Victoria,78.01,75,1551650400,100,5.28,115.24,78.8,4.29
Saskylakh,-19.27,76,1551653033,54,71.97,114.09,-19.27,3.96
Galle,42.6,90,1551653013,65,29.74,-97.91,46.99,24.16
Port Alfred,66.99,0,1551652763,91,-33.59,26.89,66.99,8.77
Pisco,71.6,40,1551650400,30,-13.71,-76.2,71.6,18.34
Xushan,45.77,75,1551653039,65,30.18,121.25,46.99,8.95
Narsaq,28.4,68,1551649800,50,60.91,-46.05,28.4,6.93
Jiayuguan,4.72,0,1551653112,46,39.77,98.29,4.72,2.95
Tuktoyaktuk,15.8,90,1551650400,85,69.44,-133.03,15.8,18.34
Putina,57.2,75,1551650400,50,-14.91,-69.87,57.2,8.05
Upernavik,8.95,32,1551653113,100,72.79,-56.15,8.95,3.29
